# timestamp tx ty tz qx qy qz qw
1766070012.966799974 128.290282098 14.572677979 -72.406509921 -0.750357063 -0.360206584 0.079271717 -0.548572229
1766070013.064800024 128.663374649 14.693857119 -72.850332077 -0.750276211 -0.359896986 0.079713320 -0.548821968
1766070013.168400049 129.032432449 14.815744600 -73.295711277 -0.750140627 -0.359134007 0.079561057 -0.549528746
1766070013.264499903 129.402655856 14.935398168 -73.741391628 -0.750894425 -0.359279487 0.079097414 -0.548470065
1766070013.368400097 129.776683647 15.050192646 -74.188492609 -0.751559627 -0.358338634 0.078811300 -0.548215587
1766070013.464299917 130.146082416 15.167940960 -74.643668026 -0.751936112 -0.355441337 0.079229619 -0.549523618
1766070013.566800117 130.515125437 15.278564747 -75.096184004 -0.750724416 -0.353359446 0.081274951 -0.552217652
1766070013.667299986 130.882734727 15.386100419 -75.548621999 -0.747902807 -0.350917569 0.085859352 -0.556889956
1766070013.767100096 131.247598491 15.484305564 -76.000313509 -0.747082224 -0.350094293 0.087132381 -0.558310026
1766070013.865999937 131.608828168 15.578190974 -76.451643664 -0.747210364 -0.349617026 0.084524347 -0.558838297
1766070013.967799902 131.970561650 15.663828428 -76.899022280 -0.746345349 -0.346525058 0.080050395 -0.562566386
1766070014.067500114 132.335647099 15.748389204 -77.347249006 -0.741474837 -0.340405413 0.076334130 -0.573159944
1766070014.168600082 132.701051138 15.826408971 -77.795964823 -0.736891573 -0.331061722 0.072909444 -0.584870206
1766070014.263999939 133.069113798 15.898632757 -78.237197315 -0.736313272 -0.322147712 0.067183502 -0.591227532
1766070014.366699934 133.435981624 15.961193461 -78.669891021 -0.737747988 -0.312924735 0.060657508 -0.595085442
1766070014.466599941 133.802169354 16.021144849 -79.101914821 -0.740020768 -0.304192945 0.051510739 -0.597647521
1766070014.567300081 134.172840722 16.069833048 -79.525770152 -0.741889695 -0.295345938 0.042527433 -0.600468046
1766070014.665499926 134.541405437 16.112515394 -79.942222107 -0.742803028 -0.284247462 0.033673697 -0.605238073
1766070014.766999960 134.908762820 16.154784060 -80.353316555 -0.741460194 -0.273093280 0.023437380 -0.612460228
1766070014.866800070 135.280264812 16.193724075 -80.756282607 -0.738923442 -0.261670637 0.013228683 -0.620762134
1766070014.967299938 135.650964582 16.231980032 -81.152043317 -0.738297584 -0.252179487 0.002710555 -0.625551625
